net,length_um
_15832_,699.7
_19781_,698.9
_23974_,698.12
_03978_,697.88
_23075_,697.605
m0.B21\[10\],697.245
_21471_,696.955
_23155_,696.77
clknet_4_9_0_clk,696.42
_25027_,696.25
_23260_,696.18
m1.B11\[12\],696.16
_11073_,695.47
_15271_,694.495
_15238_,693.515
_21280_,693.19
_24807_,691.33
_19973_,691.32
_21483_,690.65
clk,689.78
_25105_,689.28
_20463_,689.24
_18540_,688.32
_25085_,687.4
_23259_,686.89
m0.B21\[14\],686.89
_12454_,686.76
_10974_,686.54
m0.B22\[15\],686.3
_23246_,686.05
m0.B12\[5\],685.73
_12476_,685.39
_24738_,685.16
_23589_,684.86
_23446_,684.58
_19751_,684.315
_21862_,683.54
_21506_,683.47
m0.B22\[13\],683.38
_10012_,683.24
_19767_,682.93
_19258_,682.68
m1.B22\[13\],682.6
_18386_,681.59
_21503_,681.43
net257,680.71
_23038_,680.45
m1.B11\[14\],680.32
_05579_,680.23
_05445_,678.275
_08999_,677.52
_21605_,677.4
_23169_,677.12
m1.B12\[5\],676.95
_13156_,676.805
_25092_,676.72
m0.B12\[11\],676.18
_23529_,675.505
_24489_,674.76
m0.B21\[1\],674.73
_21328_,672.8
_25120_,671.87
_24182_,671.84
_25122_,671.61
_18741_,671.14
_20462_,671.06
_13384_,670.62
m0.B21\[13\],670.32
_06097_,670.235
_08042_,669.54
_23652_,668.49
_20738_,667.31
_25411_,666.45
m1.B22\[14\],666.36
_18687_,665.58
_19243_,664.975
_05490_,664.92
_10875_,663.035
_20309_,662.89
_21451_,662.53
m0.B11\[14\],661.99
_05526_,661.78
m0.A21\[2\],660.24
_22917_,659.86
_23059_,659.4
clknet_4_8_0_clk,659.38
_21405_,659.23
_21385_,659.07
net427,659
_09395_,658.72
_18244_,658.115
_24920_,658.04
_05532_,657.925
_24731_,657.665
_19748_,656.755
_25091_,656.42
_24883_,654.9
_23909_,654.2
_12344_,654.14
m1.B21\[14\],653.9
_18237_,652.925
_23950_,652.9
_24741_,652.605
_05690_,651.855
_21484_,651.7
_18235_,651.18
_21403_,651.1
_18769_,650.26
_23031_,649.695
_21469_,648.66
net446,647.92
_23138_,646.62
_24681_,645.59
_23515_,645.29
_19742_,643.83
_05580_,643.48
_21606_,643.45
net399,643.37
_07024_,643.19
_24902_,642.51
_21450_,642.46
_23254_,642.45
_23734_,642.31
_19795_,641.51
_18322_,641.34
m1.B22\[10\],640.78
_08054_,640.32
m0.B22\[14\],639.49
_19782_,639.36
_24885_,639.22
_00552_,637.72
m0.A21\[1\],637.45
_15623_,637.245
_25086_,637.19
_13060_,637.18
m1.B22\[15\],636.74
_15733_,636.66
_11315_,635.97
_24877_,635.97
m1.B12\[14\],635.77
_18318_,634.83
_23732_,633.39
_05370_,633.02
_25104_,632.14
_21199_,632
net443,631.55
_24891_,630.87
_05411_,630.22
_21436_,628.88
_09530_,628.745
_24921_,628.665
_18313_,627.86
_21796_,626.695
_18522_,626.55
_23036_,626.205
_23054_,626.18
_21793_,625.9
_18639_,625.8
m2.A21\[3\],625.74
_21823_,625.7
_05566_,625.35
_24725_,624.825
_19739_,624.74
_25090_,624.65
_24053_,624.44
_24745_,624.205
_23290_,624.11
_25161_,623.84
_18647_,623.52
_18556_,622.435
m0.B11\[15\],622.26
_25180_,622.235
_21794_,621.66
net835,620.65
_22702_,619.96
_24813_,619.2
_21876_,619.04
_18643_,618.26
net897,617.535
_08881_,617.52
_09540_,617.38
_05570_,616.72
_18492_,615.94
_05982_,615.825
_15007_,615.165
_21274_,614.975
_10160_,614.9
m0.A22\[2\],614.565
_18561_,614.42
_18224_,612.12
_05691_,611.62
_05842_,610.43
_09520_,609.64
_24812_,606.34
_18645_,606.04
_18771_,605.25
_09285_,605.245
_08783_,605.2
_14880_,604.3
_06112_,603.34
_20891_,601.8
_18180_,601.69
_19692_,601.32
net918,600.98
clknet_4_11_0_clk,600.62
_19674_,599.98
_07022_,598.9
net323,598.74
_25113_,597.1
_11982_,597.06
_24875_,596.76
_18320_,596.62
_18564_,596.2
_24308_,595.61
net779,594.83
m0.B11\[7\],594.79
_18242_,594.715
_21797_,594.12
_24804_,593.42
_18690_,593.38
_18315_,592.7
m0.B12\[8\],592.66
_18208_,592.64
_19796_,592.075
_18221_,589.68
_20683_,589.13
net972,588.575
_24646_,588.28
_21478_,588.04
_24936_,587.97
_20684_,587.22
_24800_,586.16
_19741_,585.18
_18240_,585.135
_23125_,583.6
_18551_,583.32
_09615_,583.08
_18854_,582.345
_15095_,581.69
net398,580.97
_18567_,579.995
_08955_,579.76
_05596_,579.52
_24166_,579.005
_24882_,578.435
_05448_,578.29
_11121_,577.48
_11110_,577.26
_24737_,576.9
_18855_,576.74
_05597_,576.52
_21520_,575.59
_22011_,575.42
_05724_,575.16
_20305_,575.155
m0.B11\[6\],575.07
m0.B21\[9\],574.82
_24942_,572.84
_06566_,571.15
_13835_,570.485
_05491_,569.71
_06575_,569.46
_09377_,568.44
_06464_,567.82
_24915_,567.78
_15249_,566.76
_23993_,566.48
_06576_,566.26
_21853_,565.575
m1.B12\[9\],565.05
clknet_4_5_0_clk,563.71
net290,563.26
_18310_,563.255
_25088_,563.21
_18634_,561.88
